typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
MENSUELLE;;;SR - Médroxyprogestérone (Sayana Press)104mg/0,65ml inj seringue prérempli;hhnwd63JZUA;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-DMPA-SC (Sayana Press);nS2izWVeJ1p;;;;;;;;;;;;
MENSUELLE;;;TB - Diazépam 5mg/ml, 2ml, Fl;N36Rszlwlsq;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Diazepam 5m/ml, 2 ml ampoule injectable;WqlhTS7LMzX;;;;;;;;;;;;
MENSUELLE;;;MEG - Diclofénac 50mg comp gastro-résist blister;lAGHzx47VLk;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Diclofenac 50 mg comprime;rjhh8po88i1;;;;;;;;;;;;
MENSUELLE;;;PALU - Dihydroartémisinine + Pipéraquine (20+160) mg comprimés pelliculés non dispersibles, B/3;jwyV4iw3wil;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Dihydroartemisinine + piperaquine (20+160 mg);QzIb89hRodt;;;;;;;;;;;;
MENSUELLE;;;PALU - Dihydroartémisinine + Pipéraquine (40+320) mg comprimés pelliculés non dispersibles, B/9;tWrnWAsDRtp;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Dihydroartemisinine + piperaquine (40+320 mg);eJZXi0JaTt9;;;;;;;;;;;;
MENSUELLE;;;MEG - Erythromycine 500mg comp blister;pUcnrCSuC23;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Erythromycine 500 mg, cp;WmhnAKc29kR;;;;;;;;;;;;
MENSUELLE;;;MEG - Fer sulfate + Acide folique (200+0,4)mg comp blister;aPO1RysF77P;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Fer+Acide Folique (200+0,4) mg;IgEqPSSP4Nv;;;;;;;;;;;;
MENSUELLE;;;MEG - Fluconazole 150mg gélule blister;kXZiUas7SEo;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Fluconazole 150 mg gélule;MP3fkWzcgvq;;;;;;;;;;;;
MENSUELLE;;;MEG - Fumarate ferreux  100mg/5ml susp. buv. Flacon de 50 ml;ZLQ2tDgNg3F;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Fumarate de fer 100mg/5ml, 50 ml;YJYaU5pgA0J;;;;;;;;;;;;
MENSUELLE;;;MEG - Furosémide 10mg/ml inject, amp/2ml;mkIg3PsxlG4;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Furosemide 10 mg/ml, 2 ml ampoule injectable;marjaQcD8NE;;;;;;;;;;;;
MENSUELLE;;;MEG - Gant d'examen latex Taille L;vX79hqA9mRm;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Gants d'examen, L;fvW5WFjzIPF;;;;;;;;;;;;
MENSUELLE;;;MEG - Gant d'examen à usage unique latex taille moyenne (M), unité;F1OPtdFVoFr;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Gants d'examen, M;HVSUJKdKRsU;;;;;;;;;;;;
MENSUELLE;;;MEG - Gentamycine 0,3% collyre Fl/5ml, unitarisé;wotDyrKvecP;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Gentamycine 0,30% Collyre;gVbc2zJLlSt;;;;;;;;;;;;
MENSUELLE;;;MEG - Gentamycine 80mg/2ml inject, amp/2ml;ZizISyVdYoG;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Gentamycine 80 mg Injectable;vcEJxekD12R;;;;;;;;;;;;
MENSUELLE;;;SR - Gluconate de calcium 10% inject, amp/10ml;FWRn48YC0Ge;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Gluconate de calcium 100mg/ml inj;mEm6LhRGl3I;;;;;;;;;;;;
MENSUELLE;;;MEG - Hydroxyde d’aluminium 500mg comp blister;VrSdeKH30jF;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Hydroxyde d'aluminium 500mg cp;Q3tQAO74F3k;;;;;;;;;;;;
MENSUELLE;;;MEG - Ibuprofène 400mg comp blister;z3ZKYebyMGz;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Ibuprofene 400 mg comprime;btZt76inNsK;;;;;;;;;;;;
MENSUELLE;;;SR - Etonorgestrel 68mg implant subdermal (Implanon);g5MTQvS3oSK;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Implanon NXT (Implants);UixASeBBsSw;;;;;;;;;;;;
MENSUELLE;;;MEG - Intranule avec ailettes 22G, unitarisé;FyjiVikhEn7;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Intranule G22;MKW1qnEWxcI;;;;;;;;;;;;
MENSUELLE;;;MEG - Intranule avec ailettes 24G, unitarisé;zuPmMRRiXiR;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Intranule G24;D3qHnNOoC4A;;;;;;;;;;;;
MENSUELLE;;;SR - Lévonorgestrel (Jadelle) 75mg;ZoMj1Em0Yf7;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Jadelle / Levoplant (Implants);e5JUuC7TLcS;;;;;;;;;;;;
MENSUELLE;;;NUTRI - Lait thérapeutique F100 unité;aUWUTG4F6xC;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Lait therapeutique F100_400g;I3sitr6Os1Q;;;;;;;;;;;;
MENSUELLE;;;NUTRI - Lait thérapeutique F75 unité;MlxeJ7BBfRl;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Lait therapeutique F75_400 g;JSV7L5FBWhX;;;;;;;;;;;;
MENSUELLE;;;SR- Lévonorgestrel (Levoplant) 2x75mg implant;eSPX7QY8yK6;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Levoplant (lévonorgestrel 75 mg X 2), Implant;ENT4euL77oX;;;;;;;;;;;;
MENSUELLE;;;MEG - Lidocaïne 2%  20ml inj.;LG1GjrpnlrB;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Lidocaïne 2% 20ml;ZFSXgwVzr4J;;;;;;;;;;;;
MENSUELLE;;;MEG - Miconazole gynecologique 400mg ovule;xfPSSOq0kHU;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Miconazole ovule gynéco 400mg cp;FE5ttMEylGq;;;;;;;;;;;;
MENSUELLE;;;MEG - Mebendazole 100mg comp à croquer blister;FJqhfySBSqr;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-Mebendazole 100mg;clLXkjtHU1l;;;;;;;;;;;;
MENSUELLE;;;SR - Méthylergométrine 0,2mg/ml inject, amp/1ml;nWAyVsX9uRl;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Methylergometrine 0.2mg injectable;E69BL0Z1hF6;;;;;;;;;;;;
MENSUELLE;;;MEG - Metformine 500mg comp blister;jUVHzvaKOG0;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Metformine 500 mg cp;gvCjjsErHvE;;;;;;;;;;;;
MENSUELLE;;;MEG - Metformine 850mg comp blister;fPSJ4kHAxtZ;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Metformine 850 mg cp;NF7E6aSR4zK;;;;;;;;;;;;
MENSUELLE;;;MEG - Métronidazole 250mg comp blister;JgzbDAY3m7Z;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Metronidazole 250 mg cp;kJkuVwg3VaZ;;;;;;;;;;;;
MENSUELLE;;;MEG - Métronidazole 500mg sol pr perf, Fl/100ml;EfHtPJHj8ko;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Metronidazole 500mg/100Ml injectable;McA1e273Ezm;;;;;;;;;;;;
MENSUELLE;;;MEG - Métronidazole 500mg ovule gynéco blister;kS4Ffyi5L4S;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Métronidazole gynéco 500mg cp;maKLG8tabmF;;;;;;;;;;;;
MENSUELLE;;;SR - Misoprostol 200µg comp blister;BHaaM1S3OfV;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Misoprostol;RPUyPgoLxOr;;;;;;;;;;;;
MENSUELLE;;;SR - Combi kit Mifépristone 200mg + Misoprostol 200mcg cp, kit/1+4 cp.;vk5NOCr9CLB;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Misoprostol+Mifepristone;ef1mSyKysLv;;;;;;;;;;;;
MENSUELLE;;;MEG - Nifédipine 20mg comp à libération prolongée blister;lAjAqhIx7aZ;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Nifédipine 20mg cp;qlBK3lX3elF;;;;;;;;;;;;
MENSUELLE;;;MEG - Nystatine 100000UI ovule gyn√©co blister;UbioKRTtPNS;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Nystatine 100 000 UI;vWjlYNKCPQZ;;;;;;;;;;;;
MENSUELLE;;;SR - Oxytocine 5UI/ml inject, amp/1ml;s6SaByDUhdR;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Ocytocine 5UI injectable;l8G2QmN2u4X;;;;;;;;;;;;
MENSUELLE;;;MEG - Oméprazole 20mg gélule blister;kL7kSDg5STW;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Oméprazole 20mg gélule;Zck3CkgSV4K;;;;;;;;;;;;
MENSUELLE;;;MEG - Paracétamol 500mg comp blister;jUujlqhJJjm;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Paracetamol 500 mg comprime;A2OU0ZQJ3Rp;;;;;;;;;;;;
MENSUELLE;;;MEG - Perfuseur à usage unique luer lock stérile avec aiguille 21G, unitarisé;jLOwW50RrJL;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Perfuseur;MYJBJaALi7p;;;;;;;;;;;;
MENSUELLE;;;MEG - Phloroglucinol 40mg /4ml inject, amp/4ml;EF4K3nHVnJV;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Phloroglucinol, 10mg/ml, 4 ml, ampoule injectable;FOGfX1H0YDH;;;;;;;;;;;;
MENSUELLE;;;SR - Phytoménadione (Vitamine K1) 10mg/ml inject, amp/1ml;FTz0JAXhefl;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Phytomenadione 1mg/ml injectable (vitamine K1);rYIR39sQ9oJ;;;;;;;;;;;;
MENSUELLE;;;SR - Lévonorgestrel (Microlute) 0.0375mg;c7xxwZGGeto;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Pilule progestative (Ovrette/Microlut);rQ9fHRCNUyX;;;;;;;;;;;;
MENSUELLE;;;NUTRI - Plumpy nut. carton / 150;RBdCS25xA9q;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;"Quantité a commander-Plumpy Nut ; 92 g";SETqQmgNO0m;;;;;;;;;;;;
MENSUELLE;;;PALU - Quinine sulfate 300mg comp blister;h6XVuYteMSr;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-Quinine sulfate comp 300 mg;Car9gDbEUUl;;;;;;;;;;;;
MENSUELLE;;;MEG - Salbutamol 0,1mg/dose, aérosol, Fl/200 doses, unitarisé;Nk1apwFmsDT;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Salbutamol inhalation 100ug/dose dose;dze7OG1wGxh;;;;;;;;;;;;
MENSUELLE;;;MEG - Séringue à usage unique 3 pièces luer lock 10ml stérile avec aiguille biseau long 21G, unitarisé;SFsnyUOqTiN;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Seringue 10 ml;Bvh2fKPZXkg;;;;;;;;;;;;
MENSUELLE;;;MEG - Séringue à usage unique 3 pièces luer lock 5ml stérile avec aiguille biseau long 21G, unitarisé;Di6iyYc1qbn;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Seringue 5 ml;s8kYkGtY1zG;;;;;;;;;;;;
MENSUELLE;;;MEG - Soluté glucosé isotonique 5% sol pr perf, Fl/250ml;tg8lIBa2dVC;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Solute Glucose, 5% 250mg;XPRnAS3DgwK;;;;;;;;;;;;
MENSUELLE;;;MEG - Soluté glucosé isotonique 5% sol pr perf, Fl/500ml;sNM4s3OXZ29;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Solute Glucose, 5% 500ml;Usvzbbr82TM;;;;;;;;;;;;
MENSUELLE;;;MEG - Soluté salé isotonique 0,9% sol pr perf, Fl/250ml;Vsy76gH96v8;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Solute de Sodium Chlorure 0,9% 250 ml;dh0tCIjPtLx;;;;;;;;;;;;
MENSUELLE;;;MEG - Soluté salé isotonique 0,9% sol pr perf, Fl/500ml;cGvq5CNLIiq;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Solute de Sodium Chlorure 0,9% 500 ml;DHV6sESB9nT;;;;;;;;;;;;
MENSUELLE;;;SR - Sulfate de magnesium 500mg/ml 10ml inj.;Ael2wgIDdQE;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander-Sulfate de magnesium 50% injectable;lqoBLN8Pvm3;;;;;;;;;;;;
MENSUELLE;;;PALU - Test de diagnostic rapide du paludisme (TDR). Bte/25;ZVkuvf8eATY;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantité a commander-TDR paludisme;KqPjyToQGPf;;;;;;;;;;;;
MENSUELLE;;;MEG - Vitamines B1+ B6 (250+250)mg comp blister;BH2hoZSAauG;;;QUANTITE A COMMANDER;rH7AouOJIVh;;;;;;;NetSIGL 2 FOSA Dataset;I92rowC10Dh;Quantite a commander Vitamine B1 + vitamine B6 (complexe B) 250/250mg cp;BUiM0lGuGKr;;;;;;;;;;;;
